"Fath_t1.p1","Fath_t1.p2","Fath_t1.p3","Fath_t2.p1","Fath_t2.p2","Fath_t2.p3","Fath_t3.p1","Fath_t3.p2","Fath_t3.p3","Moth_t1.p1","Moth_t1.p2","Moth_t1.p3","Moth_t2.p1","Moth_t2.p2","Moth_t2.p3","Moth_t3.p1","Moth_t3.p2","Moth_t3.p3"
1.96433333333333,2.55566666666667,2.1965,2.19066666666667,2.33733333333333,2.2125,1.81466666666667,2.485,2.4645,1.20833333333333,1.84533333333333,2.226,2.10766666666667,2.61733333333333,2.5475,1.63333333333333,2.17833333333333,2.3655
2.892,3.03366666666667,4.0395,2.66733333333333,2.98366666666667,3.5295,3.07166666666667,2.875,3.4685,2.94933333333333,3.388,3.8565,2.79533333333333,3.198,3.511,2.96466666666667,3.55266666666667,3.659
1.992,3.03566666666667,2.555,2.107,2.47466666666667,3.021,1.89733333333333,2.59033333333333,2.3025,2.72766666666667,3.068,3.0175,3.074,3.38,3.4765,3.16933333333333,3.563,3.393
3.30866666666667,3.952,3.2405,2.86566666666667,3.08433333333333,3.141,3.22433333333333,3.546,3.9345,2.65966666666667,3.019,3.1205,2.066,2.515,2.4335,1.71766666666667,2.126,1.871
2.15166666666667,2.316,2.9355,1.688,2.03533333333333,2.3515,2.817,2.94133333333333,3.218,2.485,3.10033333333333,3.1005,2.47966666666667,2.85033333333333,2.692,2.417,3.26333333333333,3.228
2.784,2.816,3.0265,2.68,2.928,2.9175,3.20233333333333,3.28333333333333,3.4665,3.34833333333333,3.21433333333333,3.088,3.544,3.33166666666667,3.558,3.00266666666667,2.77533333333333,3.113
3.153,2.58,3.771,2.83133333333333,2.78233333333333,2.9155,2.563,1.907,2.1595,2.62533333333333,3.59133333333333,3.239,2.648,3.16533333333333,2.712,2.251,3.548,2.2195
2.366,2.82,3.4565,2.40733333333333,2.85466666666667,3.1595,2.22,2.483,2.9605,2.67233333333333,3.078,3.464,2.97466666666667,2.739,2.81,3.16366666666667,2.92133333333333,3.6055
1.999,2.32866666666667,2.9595,2.61366666666667,3.04566666666667,2.6245,2.16333333333333,2.602,2.46,2.913,3.221,3.0625,2.47533333333333,2.70366666666667,3.311,3.2,3.653,3.5245
2.122,2.384,2.972,2.68366666666667,3.11633333333333,3.0585,3.31533333333333,3.79366666666667,3.228,3.36133333333333,3.17266666666667,3.2165,4.24833333333333,3.834,4.1255,4.36033333333333,3.397,3.5025
2.93233333333333,3.51133333333333,3.1325,3.16766666666667,3.28033333333333,3.087,3.17766666666667,3.08366666666667,2.864,2.35266666666667,2.72366666666667,2.9905,2.172,3.20933333333333,2.875,2.80366666666667,3.29833333333333,2.7095
2.62533333333333,2.60966666666667,2.888,2.28633333333333,3.01566666666667,2.9285,2.32,2.516,3.129,2.74566666666667,2.452,2.2635,2.62166666666667,2.95033333333333,2.6135,2.497,2.84133333333333,3.003
2.39733333333333,3.37766666666667,3.416,2.85366666666667,3.19266666666667,3.799,2.907,3.12033333333333,3.5415,3.05833333333333,3.34466666666667,2.776,2.506,3.14,2.7815,2.73333333333333,2.59866666666667,3.2195
2.759,2.99433333333333,2.896,2.895,3.21166666666667,3.481,3.162,3.52933333333333,2.5955,3.533,3.984,3.695,3.49233333333333,3.494,2.889,3.45766666666667,3.66,2.8505
2.04033333333333,2.98633333333333,2.486,2.15866666666667,3.079,2.198,3.129,2.95366666666667,2.6895,3.22133333333333,2.903,2.8145,3.12066666666667,3.85233333333333,3.046,3.65733333333333,3.76433333333333,2.6595
2.40733333333333,2.797,3.736,3.018,2.66266666666667,3.264,3.48466666666667,3.23266666666667,3.598,2.63433333333333,2.35833333333333,3.4825,2.93433333333333,2.364,2.9415,2.17966666666667,1.84866666666667,2.844
3.1,3.10666666666667,2.776,3.20033333333333,4.00033333333333,2.9985,2.773,3.20166666666667,3.364,2.61533333333333,3.55466666666667,3.769,3.66666666666667,3.264,3.691,3.241,3.12633333333333,3.109
